symbol,market,cname,ename
AIG,UN,美國國際集團,AMERICAN INTERNATIONAL GROUP
AMT,UN,美國電塔,AMERICAN TOWER CORP
BBD,UN,Banco Bradesco SA,BANCO BRADESCO-ADR
BMY,UN,必治妥施貴寶公司,BRISTOL-MYERS SQUIBB CO
BWA,UN,博格華納,BORGWARNER INC
CI,UN,信諾集團,THE CIGNA GROUP
DD,UN,新杜邦公司,DUPONT DE NEMOURS INC
EL,UN,雅詩蘭黛,ESTEE LAUDER COMPANIES-CL A
FLR,UN,福陸公司,FLUOR CORP
ICE,UN,洲際交易所,INTERCONTINENTAL EXCHANGE IN
MO,UN,高特利集團,ALTRIA GROUP INC
MUR,UN,墨菲石油公司,MURPHY OIL CORP
XYL,UN,Xylem公司,XYLEM INC
ABBV,UN,艾伯維公司,ABBVIE INC
CL,UN,高露潔-棕欖公司,COLGATE-PALMOLIVE CO
CVX,UN,雪佛龍公司,CHEVRON CORP
D,UN,道明尼能源公司,DOMINION ENERGY INC
RDY,UN,瑞迪博士有限公司,DR. REDDY'S LABORATORIES-ADR
WU,UN,西聯匯款公司,WESTERN UNION CO
XOM,UN,埃克森美孚公司,EXXON MOBIL CORP
VIPS,UN,唯品會控股有限公司,VIPSHOP HOLDINGS LTD - ADR
DHI,UN,D.R. Horton公司,DR HORTON INC
ERJ,UN,巴西航空工業公司,EMBRAER SA-SPON ADR
LIN,UN,林德公開有限公司,LINDE PLC
TSN,UN,泰森食品,TYSON FOODS INC-CL A
WMT,UN,沃爾瑪公司,WALMART INC
HD,UN,家得寶公司,HOME DEPOT INC
KSS,UN,柯爾公司,KOHLS CORP
MDT,UN,美敦力公司,MEDTRONIC PLC
TJX,UN,TJX公司,TJX COMPANIES INC
LB,UN,Landbridge Co LLC,LANDBRIDGE CO LLC-A
LOW,UN,羅威公司,LOWE'S COS INC
TGT,UN,目標百貨公司,TARGET CORP
M,UN,梅西百貨公司,MACY'S INC
QD,UN,趣店公司,QUDIAN INC-SPON ADR
BBY,UN,百思買公司,BEST BUY CO INC
ANF,UN,Abercrombie & Fitch公司,ABERCROMBIE & FITCH CO-CL A
CRM,UN,賽富時公司,SALESFORCE INC
DE,UN,迪爾,DEERE & CO
HPQ,UN,惠普公司,HP INC
PANW,UN,Palo Alto Networks Inc,PALO ALTO NETWORKS INC
